
a2ps.rb                         :_: "Any-to-PostScript filter"
aws-shell.rb                    :_: "Integrated shell for working with the AWS CLI."

aws-sns-cli.rb                  :_: "Client for Amazon Simple Notification web service"

awscli.rb                       :_: "Official Amazon AWS command-line interface"

axel.rb                         :_: "Light UNIX download accelerator"

azure-cli.rb                    :_: "Official Azure CLI"

b2-tools.rb                     :_: "B2 Cloud Storage Command-Line Tools"

b2sum.rb                        :_: "BLAKE2 b2sum reference binary"

b43-fwcutter.rb                 :_: "Extract firmware from Braodcom 43xx driver files"

babeld.rb                       :_: "Loop-avoiding distance-vector routing protocol"

babl.rb                         :_: "Dynamic, any-to-any, pixel format translation library"

backupninja.rb                  :_: "Backup automation tool"

bacula-fd.rb                    :_: "Network backup solution"

bagit.rb                        :_: "Library for creation, manipulation, and validation of bags"

balance.rb                      :_: "Software load balancer"

bam.rb                          :_: "Build system that uses Lua to describe the build process"

baobab.rb                       :_: "Gnome disk usage analyzer"

bar.rb                          :_: "Provide progress bars for shell scripts"

baresip.rb                      :_: "Modular SIP useragent"

base64.rb                       :_: "Encode and decode base64 files"

basex.rb                        :_: "Light-weight XML database and XPath/XQuery processor"

bash-completion.rb              :_: "Programmable completion for Bash 3.2"

bash-git-prompt.rb              :_: "Informative, fancy bash prompt for Git users"

bash-preexec.rb                 :_: "preexec and precmd functions for Bash just like Zsh."

bash.rb                         :_: "Bourne-Again SHell, a UNIX command interpreter"

bashdb.rb                       :_: "Bash shell debugger"

bashish.rb                      :_: "Theme environment for text terminals"

batik.rb                        :_: "Java-based toolkit for SVG images"

bats.rb                         :_: "TAP-compliant test framework for Bash scripts"

bazaar.rb                       :_: "Friendly powerful distributed version control system"

bazel.rb                        :_: "Google's own build tool"

bbcolors.rb                     :_: "Save and load color schemes for BBEdit and TextWrangler"

bbe.rb                          :_: "Sed-like editor for binary files"

bbftp-client.rb                 :_: "Secure file transfer software, optimized for large files"

bchunk.rb                       :_: "Convert CD images from .bin/.cue to .iso/.cdr"

bcpp.rb                         :_: "C(++) beautifier"

bcrypt.rb                       :_: "Cross platform file encryption utility using blowfish"

bde.rb                          :_: "Basic Development Environment: foundational C++ libraries used at Bloomberg"

bdw-gc.rb                       :_: "Garbage collector for C and C++"

beansdb.rb                      :_: "Yet another distributed key-value storage system"

beanstalkd.rb                   :_: "Generic work queue originally designed to reduce web latency"

bear.rb                         :_: "Generate compilation database for clang tooling"

bee.rb                          :_: "Tool for managing database changes."

beecrypt.rb                     :_: "C/C++ cryptography library"

befunge93.rb                    :_: "Esoteric programming language"

berkeley-db.rb                  :_: "High performance key/value database"

berkeley-db4.rb                 :_: "High performance key/value database"

betty.rb                        :_: "English-like interface for the command-line"

bfg.rb                          :_: "Remove large files or passwords from Git history like git-filter-branch"

bgpdump.rb                      :_: "C library for analyzing MRT/Zebra/Quagga dump files"

bgpq3.rb                        :_: "bgp filtering automation for Cisco, Juniper, BIRD and OpenBGPD routers"

bgpstream.rb                    :_: "For live and historical BGP data analysis"

bgrep.rb                        :_: "Like grep but for binary strings"

bib-tool.rb                     :_: "Manipulates BibTeX databases"

bibclean.rb                     :_: "BibTeX bibliography file pretty printer and syntax checker"

bibtex2html.rb                  :_: "BibTeX to HTML converter"

bibtexconv.rb                   :_: "BibTeX file converter"

bibutils.rb                     :_: "Bibliography conversion utilities"

bigdata.rb                      :_: "Graph database supporting RDF data model, Sesame, and Blueprint APIs"

bigloo.rb                       :_: "Scheme implementation with object system, C, and Java interfaces"

bind.rb                         :_: "Implementation of the DNS protocols"

binkd.rb                        :_: "TCP/IP FTN Mailer"

binutils.rb                     :_: "FSF Binutils for native development"

binwalk.rb                      :_: "Searches a binary image for embedded files and executable code."

bip.rb                          :_: "IRC proxy"

bison.rb                        :_: "Parser generator"

bitchx.rb                       :_: "Text-based, scriptable IRC client"

bitlbee.rb                      :_: "IRC to other chat networks gateway"

bitrise.rb                      :_: "Command-line automation tool"

bittwist.rb                     :_: "Libcap-based Ethernet packet generator"

blackbox.rb                     :_: "Safely store secrets in Git/Mercurial/Subversion"

blahtexml.rb                    :_: "Converts equations into Math ML"

blazeblogger.rb                 :_: "CMS for the command-line"

blink1.rb                       :_: "Control blink(1) indicator light"

blitz.rb                        :_: "C++ class library for scientific computing"

blitzwave.rb                    :_: "C++ wavelet library"

blockhash.rb                    :_: "Perceptual image hash calculation tool"

bltool.rb                       :_: "Tool for command-line interaction with backloggery.com"

blucat.rb                       :_: "netcat for Bluetooth"

blueutil.rb                     :_: "Get/set bluetooth power and discoverable state"

bmake.rb                        :_: "Portable version of NetBSD make(1)"

bmon.rb                         :_: "Interface bandwidth monitor"

bogofilter.rb                   :_: "Mail filter via statistical analysis"

bokken.rb                       :_: "GUI for the Pyew and Radare projects"

